NAME,DESCRIPTION,LEVEL,DISCIPLINE_ID,DICE_POOL,DIFFICULTY,COST,SOURCE_BOOK_ID,PAGE_NUMBER,VISIBLE
Bind the Accusing Tongue,Target cannot speak ill of the caster,1,5,Intelligence + Occult,4,0,1,230,Y
Blood Rush,Create sensation of drinking blood,1,5,Intelligence + Occult,4,0,1,230,Y
Communicate with Kindred Sire,Speak telepathically with your sire,1,5,Intelligence + Occult,4,0,1,230,Y
Defense of the Sacred Haven,Sunlight reflects off windows or magically fails to pass thr,1,5,Intelligence + Occult,4,0,1,230,Y
Deflection of Wooden Doom,Protection from being staked,1,5,Intelligence + Occult,4,0,1,231,Y
Devil's Touch,Curse a mortal,1,5,Intelligence + Occult,4,0,1,231,Y
Domino of Life,Simulate a human characteristic,1,5,Intelligence + Occult,4,0,1,231,Y
Engaging the Vessel of Transference,Swaps the blood of someone holding it with the blood in the ,1,5,Intelligence + Occult,4,0,1,231,Y
Illuminate the Trail of Prey,Path of the subject's passing will glow,1,5,Intelligence + Occult,4,0,1,231,Y
Incantation of the Shepherd,Locate all members of your herd,1,5,Intelligence + Occult,4,0,1,232,Y
Purity of Flesh,Clean your body of all foreign matter,1,5,Intelligence + Occult,4,0,1,232,Y
Wake with Evening's Freshness,This ritual allows a Tremere to awaken at any sign of danger,1,5,Intelligence + Occult,4,0,1,232,Y
Widow's Spite,Cause the target discomfort,1,5,Intelligence + Occult,4,0,1,232,Y
Bloodwalk,Trace lineage and bloodbonds,2,5,Intelligence + Occult,5,0,1,232,Y
Burning Blade,Enchant a melee weapon,2,5,Intelligence + Occult,5,0,1,232,Y
Donning the Mask of Shadows,Subject becomes translucent,2,5,Intelligence + Occult,5,0,1,233,Y
Eyes of the Night Hawk,See and hear through the senses of a bird,2,5,Intelligence + Occult,5,0,1,233,Y
Machine Blitz,Machines go haywire,2,5,Intelligence + Occult,5,0,1,233,Y
Principle Focus of Vitae Infusion,Embed blood within an object for later,2,5,Intelligence + Occult,5,0,1,234,Y
Recure of the Homeland,Heal aggravated wounds,2,5,Intelligence + Occult,5,0,1,234,Y
Ward Versus Ghouls,Protection from ghouls,2,5,Intelligence + Occult,5,0,1,234,Y
Warding Circle Versus Ghouls,A circle of protection from ghouls,2,5,Intelligence + Occult,5,0,1,234,Y
Clinging of the Insect,Cling to walls or ceilings,3,5,Intelligence + Occult,6,0,1,235,Y
Flesh of Fiery Touch,Inflict burns on anyone who touches you,3,5,Intelligence + Occult,6,0,1,235,Y
Incorporeal Passage,Pass through walls,3,5,Intelligence + Occult,6,0,1,236,Y
Mirror of Second Sight,See the supernatural,3,5,Intelligence + Occult,6,0,1,236,Y
Pavis of Foul Presence,Reverse the effects of Presence,3,5,Intelligence + Occult,6,0,1,236,Y
Sanguine Assistant,Conjure a servant,3,5,Intelligence + Occult,6,0,1,236,Y
Shaft of Belated Quiescence,Tip breaks off to stake someone,3,5,Intelligence + Occult,6,0,1,237,Y
Ward Versus Lupines,Protection from werewolves,3,5,Intelligence + Occult,6,0,1,237,Y
Bone of Lies,Lies turn the bone black,4,5,Intelligence + Occult,7,0,1,237,Y
Firewalker,Resistance to fire,4,5,Intelligence + Occult,7,0,1,238,Y
Heart of Stone,Turn heart to solid rock,4,5,Intelligence + Occult,7,0,1,238,Y
Splinter Servant,Animated stake,4,5,Intelligence + Occult,7,0,1,238,Y
Ward Versus Kindred,Protection from vampires,4,5,Intelligence + Occult,7,0,1,239,Y
Blood Contract,An agreement in blood,5,5,Intelligence + Occult,8,0,1,239,Y
Enchant Talisman,Enchant an item to amplify will and might,5,5,Intelligence + Occult,8,0,1,239,Y
Escape to a True Friend,Teleport to another person,5,5,Intelligence + Occult,8,0,1,239,Y
Paper Flesh,Turn the target to a brittle husk,5,5,Intelligence + Occult,8,0,1,240,Y
Ward Versus Spirits,Protection from spirits,5,5,Intelligence + Occult,8,0,1,240,Y
Call of the Hungry Dead,Hear conversation from across the Shroud,1,11,Intelligence + Occult,4,0,1,177,Y
Eldritch Beacon,Glow green in the shadowlands,1,11,Intelligence + Occult,4,0,1,177,Y
Insight,See the last thing witnessed by a corpse,1,11,Intelligence + Occult,4,0,1,177,Y
Knowing stone,Mark someone's spirit to see their location,1,11,Intelligence + Occult,4,0,1,177,Y
Minestra di Morte,Find out if someone is a wraith or spectre,1,11,Intelligence + Occult,4,0,1,177,Y
Ritual of the Smoking Mirror,See as ghosts do,1,11,Intelligence + Occult,4,0,1,178,Y
Eyes of the Grave,Target experiences visions of their death,2,11,Intelligence + Occult,5,0,1,179,Y
Occhio d'Uomo Morto,Permanent Shroudsight ability,2,11,Intelligence + Occult,5,0,1,179,Y
Puppet,Prepare a subject for posession,2,11,Intelligence + Occult,5,0,1,179,Y
The Hand of Glory,Anesthetise a home's residents,2,11,Intelligence + Occult,5,0,1,179,Y
The Ritual of Pochtli,Allows joint use of Necromancy,2,11,Intelligence + Occult,5,0,1,180,Y
Two Centimes,Send a mortal soul to the underworld to communicate,2,11,Intelligence + Occult,5,0,1,180,Y
Blood Dance,Allows ghost to communicate with a relative,3,11,Intelligence + Occult,6,0,1,180,Y
Din of the Damned,Sounds of the underworld are heard in the physical,3,11,Intelligence + Occult,6,0,1,180,Y
Divine Sign,"Predict action of the target, or acts like a fetter on a ghost",3,11,Intelligence + Occult,6,0,1,180,Y
Nightmare Drums,Send ghosts to haunt the dreams of an enemy,3,11,Intelligence + Occult,6,0,1,180,Y
